2021-11-05 13:18:10
2021-11-05 18:42:16

step :5000 |ssim:0.5703| psnr:18.9811
step :395000 |ssim:0.9326| psnr:29.6347psnr:30.8091 |ssim:0.9780psnr:28.5087 |ssim:0.8883
step :400000 |ssim:0.9332| psnr:29.6589
 model saved at step :400000| max_psnr:29.6589|max_ssim:0.9332psnr:30.8814 |ssim:0.9781psnr:28.5062 |ssim:0.8883
step :405000 |ssim:0.9332| psnr:29.6938
 model saved at step :405000| max_psnr:29.6938|max_ssim:0.9332psnr:30.8393 |ssim:0.9781psnr:28.5024 |ssim:0.8878
step :410000 |ssim:0.9330| psnr:29.6709psnr:30.8753 |ssim:0.9780psnr:28.4951 |ssim:0.8881
step :415000 |ssim:0.9330| psnr:29.6852psnr:30.8096 |ssim:0.9779psnr:28.5001 |ssim:0.8874
step :420000 |ssim:0.9327| psnr:29.6548psnr:30.9073 |ssim:0.9781psnr:28.5114 |ssim:0.8884
step :425000 |ssim:0.9333| psnr:29.7094
 model saved at step :425000| max_psnr:29.7094|max_ssim:0.9333psnr:30.8696 |ssim:0.9781psnr:28.4834 |ssim:0.8882
step :430000 |ssim:0.9332| psnr:29.6765psnr:30.8583 |ssim:0.9781psnr:28.5108 |ssim:0.8884
step :435000 |ssim:0.9333| psnr:29.6846psnr:30.8827 |ssim:0.9782psnr:28.5016 |ssim:0.8883
step :440000 |ssim:0.9332| psnr:29.6922psnr:30.8870 |ssim:0.9782psnr:28.5138 |ssim:0.8885
step :445000 |ssim:0.9334| psnr:29.7004psnr:30.8821 |ssim:0.9781psnr:28.5111 |ssim:0.8886
step :450000 |ssim:0.9333| psnr:29.6966psnr:30.8910 |ssim:0.9782psnr:28.5008 |ssim:0.8883
step :455000 |ssim:0.9332| psnr:29.6959psnr:30.8803 |ssim:0.9781psnr:28.5006 |ssim:0.8883
step :460000 |ssim:0.9332| psnr:29.6905psnr:30.8952 |ssim:0.9782psnr:28.4996 |ssim:0.8882
step :465000 |ssim:0.9332| psnr:29.6974psnr:30.8867 |ssim:0.9782psnr:28.5081 |ssim:0.8884
step :470000 |ssim:0.9333| psnr:29.6974psnr:30.8937 |ssim:0.9782psnr:28.5116 |ssim:0.8885
step :475000 |ssim:0.9334| psnr:29.7026psnr:30.8934 |ssim:0.9782psnr:28.5071 |ssim:0.8884
step :480000 |ssim:0.9333| psnr:29.7003psnr:30.8953 |ssim:0.9782psnr:28.5101 |ssim:0.8885
step :485000 |ssim:0.9334| psnr:29.7027psnr:30.8940 |ssim:0.9782psnr:28.5088 |ssim:0.8885
step :490000 |ssim:0.9333| psnr:29.7014psnr:30.8937 |ssim:0.9782psnr:28.5082 |ssim:0.8885
step :495000 |ssim:0.9333| psnr:29.7009psnr:30.8945 |ssim:0.9782psnr:28.5087 |ssim:0.8885
step :500000 |ssim:0.9333| psnr:29.70162022-10-15 19:17:242022-10-15 21:43:50
2022-10-15 21:44:52
2022-10-15 21:45:51
psnr:29.4960 |ssim:0.9681psnr:22.8213 |ssim:0.7379
step :305000 |ssim:0.8530| psnr:26.1586
 model saved at step :305000| max_psnr:26.1586|max_ssim:0.85302022-10-31 11:11:53
2022-10-31 11:12:37
2022-10-31 11:16:30
2022-10-31 14:44:11
2022-10-31 14:54:37
psnr:25.6839 |ssim:0.9285psnr:19.3245 |ssim:0.6316psnr:24.0401 |ssim:0.7947
step :5000 |ssim:0.7849| psnr:23.0162
 model saved at step :5000| max_psnr:23.0162|max_ssim:0.7849psnr:22.3873 |ssim:0.8908psnr:17.6392 |ssim:0.5747psnr:24.5106 |ssim:0.8041
step :10000 |ssim:0.7565| psnr:21.5124psnr:24.3147 |ssim:0.9182psnr:18.6729 |ssim:0.5956psnr:24.5862 |ssim:0.8077
step :15000 |ssim:0.7738| psnr:22.5246psnr:23.2497 |ssim:0.9061psnr:16.2269 |ssim:0.4995psnr:24.9619 |ssim:0.8112
step :20000 |ssim:0.7389| psnr:21.4795psnr:24.3883 |ssim:0.9195psnr:16.4133 |ssim:0.4923psnr:25.1080 |ssim:0.8125
step :25000 |ssim:0.7414| psnr:21.9699psnr:22.9847 |ssim:0.9020psnr:12.5915 |ssim:0.3143psnr:25.2445 |ssim:0.8169
step :30000 |ssim:0.6777| psnr:20.2736psnr:24.7819 |ssim:0.9203psnr:18.1119 |ssim:0.5508psnr:25.1358 |ssim:0.8144
step :35000 |ssim:0.7618| psnr:22.6765psnr:4.8611 |ssim:0.0928psnr:5.1242 |ssim:0.0363psnr:5.0948 |ssim:0.0695
step :40000 |ssim:0.0662| psnr:5.0267psnr:5.8904 |ssim:0.1543psnr:5.3825 |ssim:0.0381psnr:5.1821 |ssim:0.0636
step :45000 |ssim:0.0853| psnr:5.4850psnr:4.4090 |ssim:0.2239psnr:4.3742 |ssim:0.1222psnr:3.9862 |ssim:0.1694
step :50000 |ssim:0.1718| psnr:4.2565psnr:4.7248 |ssim:0.1656psnr:4.9090 |ssim:0.0883psnr:4.9330 |ssim:0.1212
step :55000 |ssim:0.1250| psnr:4.85562022-11-01 11:46:24
2022-11-01 11:49:34
psnr:24.9284 |ssim:0.9188psnr:14.8654 |ssim:0.4423psnr:25.2496 |ssim:0.8196
step :40000 |ssim:0.7269| psnr:21.6812psnr:24.8684 |ssim:0.9248psnr:8.7450 |ssim:0.09462022-11-01 15:59:02
2022-11-01 15:59:18
psnr:8.0406 |ssim:0.3534psnr:4.9886 |ssim:0.19272022-11-01 17:25:45
psnr:23.3986 |ssim:0.9028psnr:13.0040 |ssim:0.31592022-11-16 18:53:52
2022-11-16 19:01:14
2022-11-16 19:02:17
psnr:23.0726 |ssim:0.8769psnr:13.4495 |ssim:0.3844
step :5000 |ssim:0.6306| psnr:18.2610
 model saved at step :5000| max_psnr:18.2610|max_ssim:0.6306psnr:23.4322 |ssim:0.8882psnr:13.4451 |ssim:0.3816
step :10000 |ssim:0.6349| psnr:18.4386
 model saved at step :10000| max_psnr:18.4386|max_ssim:0.6349psnr:21.3137 |ssim:0.8691psnr:13.4005 |ssim:0.3814
step :15000 |ssim:0.6253| psnr:17.3571psnr:20.6723 |ssim:0.8542psnr:13.6097 |ssim:0.3934
step :20000 |ssim:0.6238| psnr:17.1410psnr:19.6537 |ssim:0.8426psnr:13.8329 |ssim:0.4051
step :25000 |ssim:0.6238| psnr:16.7433psnr:21.4066 |ssim:0.8657psnr:13.7052 |ssim:0.3952
step :30000 |ssim:0.6305| psnr:17.5559psnr:22.0330 |ssim:0.8783psnr:13.1961 |ssim:0.3776
step :35000 |ssim:0.6280| psnr:17.6145psnr:20.1125 |ssim:0.8541psnr:13.4510 |ssim:0.3931
step :40000 |ssim:0.6236| psnr:16.7817psnr:21.2287 |ssim:0.8675psnr:13.4163 |ssim:0.3941
step :45000 |ssim:0.6308| psnr:17.3225psnr:21.1044 |ssim:0.8714psnr:13.5634 |ssim:0.3930
step :50000 |ssim:0.6322| psnr:17.3339psnr:21.4680 |ssim:0.8741psnr:13.4658 |ssim:0.3890
step :55000 |ssim:0.6315| psnr:17.4669psnr:21.7814 |ssim:0.8728psnr:13.7393 |ssim:0.3968
step :60000 |ssim:0.6348| psnr:17.7604psnr:17.6495 |ssim:0.7879psnr:13.8247 |ssim:0.4051
step :65000 |ssim:0.5965| psnr:15.7371psnr:19.3908 |ssim:0.8263psnr:14.1301 |ssim:0.4046
step :70000 |ssim:0.6155| psnr:16.7604psnr:20.2222 |ssim:0.8425psnr:13.7015 |ssim:0.4012
step :75000 |ssim:0.6219| psnr:16.9619psnr:20.6440 |ssim:0.8621psnr:13.4867 |ssim:0.3924
step :80000 |ssim:0.6273| psnr:17.0653psnr:21.0856 |ssim:0.8631psnr:13.2998 |ssim:0.3889
step :85000 |ssim:0.6260| psnr:17.1927psnr:21.3771 |ssim:0.8733psnr:13.4681 |ssim:0.3895
step :90000 |ssim:0.6314| psnr:17.4226psnr:20.6399 |ssim:0.8641psnr:13.2783 |ssim:0.3905
step :95000 |ssim:0.6273| psnr:16.9591psnr:21.9587 |ssim:0.8810psnr:13.5282 |ssim:0.3820
step :100000 |ssim:0.6315| psnr:17.7435psnr:21.3896 |ssim:0.8707psnr:13.5111 |ssim:0.3891
step :105000 |ssim:0.6299| psnr:17.4504psnr:21.1253 |ssim:0.8630psnr:13.3246 |ssim:0.3856
step :110000 |ssim:0.6243| psnr:17.2250psnr:21.3627 |ssim:0.8701psnr:13.4739 |ssim:0.3934
step :115000 |ssim:0.6318| psnr:17.4183psnr:21.0552 |ssim:0.8681psnr:13.4566 |ssim:0.3972
step :120000 |ssim:0.6327| psnr:17.2559psnr:20.3217 |ssim:0.8607psnr:13.3946 |ssim:0.3902
step :125000 |ssim:0.6255| psnr:16.8581psnr:21.2327 |ssim:0.8664psnr:13.6925 |ssim:0.4004
step :130000 |ssim:0.6334| psnr:17.4626psnr:21.8783 |ssim:0.8770psnr:13.5494 |ssim:0.3869
step :135000 |ssim:0.6319| psnr:17.7138psnr:21.5194 |ssim:0.8666psnr:13.6639 |ssim:0.3926
step :140000 |ssim:0.6296| psnr:17.5917psnr:21.1874 |ssim:0.8670psnr:13.4592 |ssim:0.3954
step :145000 |ssim:0.6312| psnr:17.3233psnr:20.0110 |ssim:0.8543psnr:13.3231 |ssim:0.3876
step :150000 |ssim:0.6209| psnr:16.6671psnr:21.0076 |ssim:0.8707psnr:13.5382 |ssim:0.3892
step :155000 |ssim:0.6299| psnr:17.2729psnr:21.4083 |ssim:0.8714psnr:13.4783 |ssim:0.3916
step :160000 |ssim:0.6315| psnr:17.4433psnr:20.6316 |ssim:0.8619psnr:13.6783 |ssim:0.4007
step :165000 |ssim:0.6313| psnr:17.1549psnr:21.2058 |ssim:0.8714psnr:13.3667 |ssim:0.3859
step :170000 |ssim:0.6286| psnr:17.2862psnr:20.7716 |ssim:0.8659psnr:13.5026 |ssim:0.3898
step :175000 |ssim:0.6279| psnr:17.1371psnr:21.2946 |ssim:0.8714psnr:13.1925 |ssim:0.3883
step :180000 |ssim:0.6299| psnr:17.2436psnr:21.0898 |ssim:0.8713psnr:13.5170 |ssim:0.3934
step :185000 |ssim:0.6323| psnr:17.3034psnr:21.7967 |ssim:0.8778psnr:13.4193 |ssim:0.3913
step :190000 |ssim:0.6346| psnr:17.6080psnr:21.4997 |ssim:0.8733psnr:13.4032 |ssim:0.3836
step :195000 |ssim:0.6285| psnr:17.4514psnr:21.4955 |ssim:0.8714psnr:13.4554 |ssim:0.3894
step :200000 |ssim:0.6304| psnr:17.4755psnr:21.1095 |ssim:0.8667psnr:13.5733 |ssim:0.3946
step :205000 |ssim:0.6306| psnr:17.3414psnr:21.2307 |ssim:0.8706psnr:13.4982 |ssim:0.3975
step :210000 |ssim:0.6340| psnr:17.3644psnr:21.6831 |ssim:0.8751psnr:13.2863 |ssim:0.3839
step :215000 |ssim:0.6295| psnr:17.4847psnr:21.1861 |ssim:0.8713psnr:13.3574 |ssim:0.3835
step :220000 |ssim:0.6274| psnr:17.2717psnr:21.7933 |ssim:0.8731psnr:13.3795 |ssim:0.3906
step :225000 |ssim:0.6319| psnr:17.5864psnr:21.5122 |ssim:0.8782psnr:13.3639 |ssim:0.3850
step :230000 |ssim:0.6316| psnr:17.4380psnr:21.5832 |ssim:0.8756psnr:13.3199 |ssim:0.3828
step :235000 |ssim:0.6292| psnr:17.4516psnr:21.2218 |ssim:0.8711psnr:13.5298 |ssim:0.3895
step :240000 |ssim:0.6303| psnr:17.3758psnr:21.6606 |ssim:0.8771psnr:13.2530 |ssim:0.3809
step :245000 |ssim:0.6290| psnr:17.4568psnr:21.6042 |ssim:0.8774psnr:13.3629 |ssim:0.3853
step :250000 |ssim:0.6314| psnr:17.4835psnr:22.0370 |ssim:0.8809psnr:13.2092 |ssim:0.3822
step :255000 |ssim:0.6316| psnr:17.6231psnr:21.1351 |ssim:0.8725psnr:13.3206 |ssim:0.3877
step :260000 |ssim:0.6301| psnr:17.2279psnr:21.3671 |ssim:0.8726psnr:13.3031 |ssim:0.3869
step :265000 |ssim:0.6298| psnr:17.3351psnr:22.4027 |ssim:0.8850psnr:13.2863 |ssim:0.3877
step :270000 |ssim:0.6363| psnr:17.8445psnr:21.9183 |ssim:0.8813psnr:13.2262 |ssim:0.3828
step :275000 |ssim:0.6321| psnr:17.5723psnr:22.0848 |ssim:0.8836psnr:13.1659 |ssim:0.3793
step :280000 |ssim:0.6314| psnr:17.6254psnr:21.7051 |ssim:0.8788psnr:13.1656 |ssim:0.3824
step :285000 |ssim:0.6306| psnr:17.4354psnr:22.0364 |ssim:0.8833psnr:13.1375 |ssim:0.3791
step :290000 |ssim:0.6312| psnr:17.5869psnr:22.1043 |ssim:0.8826psnr:13.1601 |ssim:0.3817
step :295000 |ssim:0.6321| psnr:17.6322psnr:22.0647 |ssim:0.8824psnr:13.2037 |ssim:0.3820
step :300000 |ssim:0.6322| psnr:17.6342psnr:21.8811 |ssim:0.8800psnr:13.1100 |ssim:0.3783
step :305000 |ssim:0.6291| psnr:17.4956psnr:21.9832 |ssim:0.8801psnr:13.2322 |ssim:0.3820
step :310000 |ssim:0.6310| psnr:17.6077psnr:22.2089 |ssim:0.8836psnr:13.1303 |ssim:0.3772
step :315000 |ssim:0.6304| psnr:17.6696psnr:22.3709 |ssim:0.8856psnr:13.1153 |ssim:0.3773
step :320000 |ssim:0.6315| psnr:17.7431psnr:22.0457 |ssim:0.8833psnr:13.1071 |ssim:0.3780
step :325000 |ssim:0.6307| psnr:17.5764psnr:22.2565 |ssim:0.8846psnr:13.1242 |ssim:0.3777
step :330000 |ssim:0.6312| psnr:17.6904psnr:22.3391 |ssim:0.8869psnr:13.0814 |ssim:0.3762
step :335000 |ssim:0.6316| psnr:17.7103psnr:22.0147 |ssim:0.8825psnr:13.1317 |ssim:0.3772
step :340000 |ssim:0.6298| psnr:17.5732psnr:22.4879 |ssim:0.8878psnr:13.0953 |ssim:0.3757
step :345000 |ssim:0.6318| psnr:17.7916psnr:22.2557 |ssim:0.8848psnr:13.0850 |ssim:0.3766
step :350000 |ssim:0.6307| psnr:17.6703psnr:22.3036 |ssim:0.8876psnr:13.0320 |ssim:0.3743
step :355000 |ssim:0.6309| psnr:17.6678psnr:22.5344 |ssim:0.8877psnr:13.0989 |ssim:0.3779
step :360000 |ssim:0.6328| psnr:17.8167psnr:22.5046 |ssim:0.8883psnr:13.0703 |ssim:0.3755
step :365000 |ssim:0.6319| psnr:17.7874psnr:22.6015 |ssim:0.8895psnr:13.0257 |ssim:0.3748
step :370000 |ssim:0.6322| psnr:17.8136psnr:22.4485 |ssim:0.8877psnr:13.0117 |ssim:0.3756
step :375000 |ssim:0.6316| psnr:17.7301psnr:22.4711 |ssim:0.8886psnr:13.0250 |ssim:0.3747
step :380000 |ssim:0.6316| psnr:17.7480psnr:22.6014 |ssim:0.8902psnr:13.0070 |ssim:0.3743
step :385000 |ssim:0.6323| psnr:17.8042psnr:22.6917 |ssim:0.8912psnr:13.0541 |ssim:0.3753
step :390000 |ssim:0.6333| psnr:17.8729psnr:22.6801 |ssim:0.8915psnr:12.9859 |ssim:0.3727
step :395000 |ssim:0.6321| psnr:17.8330psnr:22.7345 |ssim:0.8911psnr:12.9781 |ssim:0.3729
step :400000 |ssim:0.6320| psnr:17.8563psnr:22.7967 |ssim:0.8926psnr:12.9683 |ssim:0.3731
step :405000 |ssim:0.6329| psnr:17.8825psnr:22.8076 |ssim:0.8930psnr:12.9463 |ssim:0.3717
step :410000 |ssim:0.6324| psnr:17.8769psnr:22.8033 |ssim:0.8931psnr:12.9557 |ssim:0.3720
step :415000 |ssim:0.6326| psnr:17.8795psnr:22.7210 |ssim:0.8920psnr:12.9648 |ssim:0.3728
step :420000 |ssim:0.6324| psnr:17.8429psnr:22.9275 |ssim:0.8948psnr:12.9308 |ssim:0.3709
step :425000 |ssim:0.6329| psnr:17.9292psnr:22.9693 |ssim:0.8958psnr:12.9327 |ssim:0.3707
step :430000 |ssim:0.6332| psnr:17.9510psnr:22.9514 |ssim:0.8951psnr:12.9252 |ssim:0.3711
step :435000 |ssim:0.6331| psnr:17.9383psnr:22.9638 |ssim:0.8952psnr:12.9469 |ssim:0.3719
step :440000 |ssim:0.6335| psnr:17.9554psnr:22.9596 |ssim:0.8954psnr:12.9172 |ssim:0.3706
step :445000 |ssim:0.6330| psnr:17.9384psnr:23.0354 |ssim:0.8958psnr:12.9298 |ssim:0.3709
step :450000 |ssim:0.6333| psnr:17.9826psnr:23.0073 |ssim:0.8960psnr:12.9223 |ssim:0.3706
step :455000 |ssim:0.6333| psnr:17.9648psnr:23.0048 |ssim:0.8958psnr:12.9160 |ssim:0.3706
step :460000 |ssim:0.6332| psnr:17.9604psnr:23.0441 |ssim:0.8963psnr:12.9207 |ssim:0.3707
step :465000 |ssim:0.6335| psnr:17.9824psnr:23.0121 |ssim:0.8962psnr:12.9118 |ssim:0.3703
step :470000 |ssim:0.6332| psnr:17.9620psnr:23.0461 |ssim:0.8964psnr:12.9108 |ssim:0.3705
step :475000 |ssim:0.6335| psnr:17.9785psnr:23.0352 |ssim:0.8964psnr:12.9113 |ssim:0.3704
step :480000 |ssim:0.6334| psnr:17.9733psnr:23.0297 |ssim:0.8964psnr:12.9109 |ssim:0.3703
step :485000 |ssim:0.6334| psnr:17.9703psnr:23.0352 |ssim:0.8965psnr:12.9110 |ssim:0.3703
step :490000 |ssim:0.6334| psnr:17.9731psnr:23.0413 |ssim:0.8966psnr:12.9118 |ssim:0.3703
step :495000 |ssim:0.6334| psnr:17.9765psnr:23.0400 |ssim:0.8966psnr:12.9111 |ssim:0.3703
step :500000 |ssim:0.6334| psnr:17.97552022-11-18 18:19:162022-11-28 11:28:14
2022-11-28 11:36:08
2022-11-28 11:36:39
2022-11-28 11:37:40
2022-11-30 15:29:29
psnr:13.7342 |ssim:0.4189psnr:25.0105 |ssim:0.8117
step :65000 |ssim:0.6153| psnr:19.3724psnr:10.6509 |ssim:0.2629psnr:25.4217 |ssim:0.8113
step :70000 |ssim:0.5371| psnr:18.0363psnr:11.0829 |ssim:0.2818psnr:25.1683 |ssim:0.8079
step :75000 |ssim:0.5448| psnr:18.1256psnr:10.7301 |ssim:0.2565psnr:25.0431 |ssim:0.8135
step :80000 |ssim:0.5350| psnr:17.8866psnr:11.8042 |ssim:0.3159psnr:25.7428 |ssim:0.8254
step :85000 |ssim:0.5707| psnr:18.7735psnr:11.1711 |ssim:0.2865psnr:25.0540 |ssim:0.8145
step :90000 |ssim:0.5505| psnr:18.1125psnr:10.7636 |ssim:0.2599psnr:25.1729 |ssim:0.8207
step :95000 |ssim:0.5403| psnr:17.96832022-11-30 20:37:40
psnr:11.0134 |ssim:0.2681psnr:26.9568 |ssim:0.8600
step :370000 |ssim:0.5641| psnr:18.9851psnr:10.8273 |ssim:0.2585psnr:26.9809 |ssim:0.8601
step :380000 |ssim:0.5593| psnr:18.9041psnr:10.9436 |ssim:0.2642psnr:26.9698 |ssim:0.8593
step :390000 |ssim:0.5618| psnr:18.9567psnr:10.7678 |ssim:0.2560psnr:26.9649 |ssim:0.8606
step :400000 |ssim:0.5583| psnr:18.8663psnr:10.8038 |ssim:0.2573psnr:26.9808 |ssim:0.8601
step :410000 |ssim:0.5587| psnr:18.8923psnr:10.8356 |ssim:0.2583psnr:26.9849 |ssim:0.8604
step :420000 |ssim:0.5593| psnr:18.9102psnr:10.9506 |ssim:0.2645psnr:26.9879 |ssim:0.8609
step :430000 |ssim:0.5627| psnr:18.9693psnr:10.8637 |ssim:0.2600psnr:26.9957 |ssim:0.8605
step :440000 |ssim:0.5602| psnr:18.9297psnr:10.8955 |ssim:0.2616psnr:27.0008 |ssim:0.8609
step :450000 |ssim:0.5612| psnr:18.9481psnr:10.8796 |ssim:0.2608psnr:26.9969 |ssim:0.8609
step :460000 |ssim:0.5608| psnr:18.9382psnr:10.8678 |ssim:0.2603psnr:26.9978 |ssim:0.8611
step :470000 |ssim:0.5607| psnr:18.9328psnr:10.8726 |ssim:0.2605psnr:26.9935 |ssim:0.8610
step :480000 |ssim:0.5608| psnr:18.9331psnr:10.8841 |ssim:0.2611psnr:26.9973 |ssim:0.8610
step :490000 |ssim:0.5610| psnr:18.9407psnr:10.8851 |ssim:0.2611psnr:26.9984 |ssim:0.8610
step :500000 |ssim:0.5610| psnr:18.94172022-12-01 15:15:202022-12-01 17:33:09
psnr:19.5613 |ssim:0.8176psnr:16.4357 |ssim:0.3986psnr:26.6394 |ssim:0.8433
step :5000 |ssim:0.6865| psnr:20.8788
 model saved at step :5000| max_psnr:20.8788|max_ssim:0.6865psnr:18.1054 |ssim:0.8114psnr:12.6896 |ssim:0.2568psnr:27.7973 |ssim:0.8604
step :10000 |ssim:0.6429| psnr:19.5308psnr:20.4886 |ssim:0.8296psnr:15.3458 |ssim:0.3988psnr:28.0753 |ssim:0.8680
step :15000 |ssim:0.6988| psnr:21.3032
 model saved at step :15000| max_psnr:21.3032|max_ssim:0.6988psnr:18.6199 |ssim:0.8169psnr:14.4305 |ssim:0.3206psnr:28.6120 |ssim:0.8777
step :20000 |ssim:0.6717| psnr:20.5541psnr:18.9487 |ssim:0.8086psnr:12.0864 |ssim:0.2242psnr:28.3174 |ssim:0.8700
step :25000 |ssim:0.6343| psnr:19.7842psnr:20.3464 |ssim:0.8410psnr:12.3607 |ssim:0.2286psnr:27.6950 |ssim:0.8792
step :30000 |ssim:0.6496| psnr:20.1340psnr:18.9352 |ssim:0.8073psnr:11.8144 |ssim:0.2178psnr:28.8694 |ssim:0.8757
step :35000 |ssim:0.6336| psnr:19.8730psnr:18.6559 |ssim:0.8322psnr:13.2506 |ssim:0.2888psnr:28.3848 |ssim:0.8707
step :40000 |ssim:0.6639| psnr:20.0971psnr:15.1442 |ssim:0.5051psnr:9.3242 |ssim:0.1024psnr:28.6686 |ssim:0.8764
step :45000 |ssim:0.4946| psnr:17.7123psnr:19.8828 |ssim:0.7748psnr:11.0836 |ssim:0.1718psnr:28.3255 |ssim:0.8781
step :50000 |ssim:0.6082| psnr:19.7640psnr:17.3036 |ssim:0.7650psnr:12.0113 |ssim:0.2168psnr:28.9654 |ssim:0.8836
step :55000 |ssim:0.6218| psnr:19.4268psnr:17.4259 |ssim:0.6645psnr:11.6659 |ssim:0.2013psnr:29.1654 |ssim:0.8870
step :60000 |ssim:0.5843| psnr:19.4191psnr:16.8787 |ssim:0.6090psnr:10.6112 |ssim:0.1589psnr:28.2586 |ssim:0.8668
step :65000 |ssim:0.5449| psnr:18.5828psnr:12.8470 |ssim:0.4149psnr:13.2241 |ssim:0.3086psnr:27.9280 |ssim:0.8702
step :70000 |ssim:0.5312| psnr:17.9997psnr:20.0221 |ssim:0.8131psnr:9.3652 |ssim:0.0985psnr:28.8283 |ssim:0.8790
step :75000 |ssim:0.5969| psnr:19.4052psnr:16.9936 |ssim:0.8118psnr:10.3435 |ssim:0.1456psnr:27.8354 |ssim:0.8610
step :80000 |ssim:0.6061| psnr:18.3909psnr:13.9148 |ssim:0.4289psnr:9.8980 |ssim:0.1259psnr:29.1291 |ssim:0.8903
step :85000 |ssim:0.4817| psnr:17.6473psnr:12.8606 |ssim:0.3656psnr:9.4970 |ssim:0.1058psnr:28.7605 |ssim:0.8798
step :90000 |ssim:0.4504| psnr:17.0393psnr:10.5220 |ssim:0.2535psnr:12.2125 |ssim:0.2734psnr:28.9668 |ssim:0.8777
step :95000 |ssim:0.4682| psnr:17.2337psnr:16.5936 |ssim:0.7354psnr:9.8302 |ssim:0.1261psnr:29.1027 |ssim:0.8845
step :100000 |ssim:0.5820| psnr:18.5088psnr:12.6376 |ssim:0.3405psnr:10.8226 |ssim:0.1671psnr:28.9446 |ssim:0.8867
step :105000 |ssim:0.4648| psnr:17.4683psnr:15.4470 |ssim:0.4890psnr:10.0957 |ssim:0.1307psnr:29.3788 |ssim:0.8930
step :110000 |ssim:0.5042| psnr:18.3072psnr:18.6480 |ssim:0.7787psnr:12.1291 |ssim:0.2632psnr:25.4275 |ssim:0.7921
step :115000 |ssim:0.6113| psnr:18.7349psnr:16.4151 |ssim:0.8010psnr:9.6132 |ssim:0.1112psnr:28.9716 |ssim:0.8858
step :120000 |ssim:0.5994| psnr:18.3333psnr:18.4491 |ssim:0.7743psnr:9.1168 |ssim:0.0930psnr:29.6986 |ssim:0.8937
step :125000 |ssim:0.5870| psnr:19.0882psnr:11.5107 |ssim:0.2869psnr:9.7438 |ssim:0.1183psnr:27.7927 |ssim:0.8707
step :130000 |ssim:0.4253| psnr:16.3491psnr:18.2621 |ssim:0.7766psnr:10.4520 |ssim:0.1639psnr:29.2265 |ssim:0.8863
step :135000 |ssim:0.6090| psnr:19.3135psnr:13.4273 |ssim:0.4080psnr:9.9117 |ssim:0.1273psnr:29.4433 |ssim:0.8891
step :140000 |ssim:0.4748| psnr:17.5941psnr:15.3875 |ssim:0.5498psnr:9.4292 |ssim:0.1062psnr:29.5290 |ssim:0.8929
step :145000 |ssim:0.5163| psnr:18.1152psnr:16.8948 |ssim:0.7061psnr:9.5782 |ssim:0.1128psnr:29.5840 |ssim:0.8943
step :150000 |ssim:0.5711| psnr:18.68572022-12-04 15:06:07
psnr:13.0657 |ssim:0.3649psnr:9.2269 |ssim:0.0953psnr:29.5888 |ssim:0.8902
step :155000 |ssim:0.4501| psnr:17.2938psnr:16.0374 |ssim:0.5563psnr:9.9896 |ssim:0.13042022-12-05 16:03:36
psnr:15.9125 |ssim:0.5327psnr:9.7352 |ssim:0.1131psnr:28.3383 |ssim:0.8703
step :165000 |ssim:0.5054| psnr:17.9953psnr:12.0110 |ssim:0.3203psnr:9.6447 |ssim:0.1205psnr:27.9979 |ssim:0.8776
step :170000 |ssim:0.4395| psnr:16.5512psnr:11.8280 |ssim:0.3212psnr:8.8151 |ssim:0.0791psnr:29.7824 |ssim:0.8960
step :175000 |ssim:0.4321| psnr:16.8085psnr:11.5278 |ssim:0.3007psnr:9.5764 |ssim:0.1112psnr:29.7016 |ssim:0.8924
step :180000 |ssim:0.4348| psnr:16.9352psnr:10.8419 |ssim:0.2704psnr:9.8515 |ssim:0.1210psnr:29.8226 |ssim:0.8950
step :185000 |ssim:0.4288| psnr:16.8387psnr:11.5003 |ssim:0.3080psnr:10.1519 |ssim:0.1405psnr:29.9884 |ssim:0.8980
step :190000 |ssim:0.4488| psnr:17.2135psnr:10.8790 |ssim:0.2651psnr:9.3332 |ssim:0.1009psnr:30.1443 |ssim:0.8991
step :195000 |ssim:0.4217| psnr:16.7855psnr:11.0976 |ssim:0.2758psnr:11.2909 |ssim:0.1892psnr:29.4504 |ssim:0.8912
step :200000 |ssim:0.4520| psnr:17.2797psnr:11.1729 |ssim:0.2861psnr:9.9367 |ssim:0.1331psnr:30.0643 |ssim:0.9035
step :210000 |ssim:0.4409| psnr:17.0580psnr:11.3553 |ssim:0.2824psnr:9.3670 |ssim:0.1086psnr:29.9553 |ssim:0.9004
step :220000 |ssim:0.4305| psnr:16.8925psnr:10.9165 |ssim:0.2652psnr:8.9035 |ssim:0.0888psnr:29.7919 |ssim:0.8964
step :230000 |ssim:0.4168| psnr:16.5373psnr:11.0202 |ssim:0.2665psnr:8.5532 |ssim:0.0704psnr:30.0535 |ssim:0.9022
step :240000 |ssim:0.4130| psnr:16.5423psnr:11.3869 |ssim:0.2887psnr:9.4735 |ssim:0.1144psnr:30.2710 |ssim:0.9029
step :250000 |ssim:0.4354| psnr:17.0438psnr:11.3696 |ssim:0.2840psnr:9.8278 |ssim:0.1262psnr:30.5185 |ssim:0.9062
step :260000 |ssim:0.4388| psnr:17.2386psnr:11.3457 |ssim:0.2814psnr:9.6413 |ssim:0.1197psnr:30.2977 |ssim:0.9017
